"product_id","count","condition","is_first_ed","language_id","game_id","prix_final"
284577.0,1,"NM",True,2,3,20.018424481781754
104359.0,2,"NM",False,1,3,4.4
103211.0,1,"EX",True,2,3,10.733870447857655
103422.0,4,"NM",True,2,3,NULL
109908.0,2,"EX",False,2,3,13.006170741306354
245232.0,2,"NM",False,2,3,89.51711989101567
250232.0,1,"EX",True,2,3,46.67207407179349
105213.0,2,"NM",False,1,3,14.169166046539743
291295.0,1,"NM",False,2,3,8.230864203978383
105123.0,1,"GD",False,2,3,68.28190806673537
248768.0,2,"NM",False,2,3,49.942144784356906
102249.0,2,"LP",True,1,3,9.44919107725476
283211.0,999,NULL,NULL,NULL,3,0.4
250288.0,1,"PO",True,2,3,52.272335432189784
109562.0,1,"EX",False,2,3,32.552525021851224
103919.0,1,"EX",True,1,3,0.0
257680.0,1,"GD",False,2,3,5.6234938083645
265244.0,1,"NM",True,4,3,3.8579793514404135
101865.0,6,"NM",False,1,3,0.0
102162.0,2,"EX",False,2,3,NULL
104344.0,1,"GD",False,2,3,60.500000000000014
255751.0,9,"NM",False,1,3,0.0
253063.0,1,"EX",True,2,3,3.6078146719208273
244619.0,2,"EX",False,2,3,4.675000000000001
250195.0,1,"EX",True,2,3,9.256500000000003
250266.0,1,"GD",True,2,3,16.043413405589902
103752.0,1,"LP",True,1,3,5.347245575147676
266831.0,6,"EX",True,2,3,15.818224831222471
282617.0,3,"EX",True,2,3,7.506198674509799
245204.0,1,"NM",False,2,3,20.494097850284675
103436.0,1,"GD",True,2,3,2.4200000000000004
107144.0,1,"EX",False,2,3,NULL
300860.0,2,"NM",True,2,3,3.9522518845968353
102079.0,1,"EX",False,1,3,9.845406424832198
369123.0,1,"NM",True,2,3,0.41250000000000003
283745.0,1,"NM",True,2,3,40.19399604516953
259387.0,1,"EX",True,2,3,18.04149729674785
251743.0,7,"NM",True,1,3,0.0
252645.0,1,"GD",False,2,3,14.34787761410166
270252.0,999,NULL,NULL,NULL,3,1.0
576382.0,18,"NM",True,2,3,1.6500000000000001
261868.0,1,"EX",True,2,3,258.0721201510344
261728.0,12,"NM",False,2,3,28.61250908447326
244748.0,1,"EX",False,2,3,10.93617641056058
105242.0,1,"GD",False,2,3,9.075000000000001
107768.0,2,"NM",False,2,3,75.11385414778819
106399.0,2,"EX",True,2,3,4.675000000000001
103227.0,1,"GD",False,2,3,21.059869747491987
244373.0,1,"GD",False,1,3,70.72973417978334
244275.0,5,"NM",True,1,3,2.9851496368204486
105232.0,2,"NM",True,2,3,12.895676120278699
270388.0,4,"NM",True,2,3,1.1
102657.0,2,"EX",False,2,3,4.675000000000001
580790.0,1,"PO",False,2,3,0.07499320542695531
