"idArticle";"idProduct";"English Name";"Local Name";"Exp.";"Exp. Name";"Price";"Language";"Comments";"Amount";"onSale";"idCurrency";"Currency Code"
"539626454";"406884";"Duel Devastator: ""Ghost Reaper & Winter Cherries"" Field Center Card";"Duel Devastator: ""Ghost Reaper & Winter Cherries"" Field Center Card";"DUDE";"Duel Devastator";"0.90";"2";"ENVOI RAPIDE !";"95";"1";"1";"EUR"
"539626224";"406889";"Duel Devastator: ""Ghost Sister & Spooky Dogwood"" Field Center Card";"Duel Devastator: ""Ghost Sister & Spooky Dogwood"" Field Center Card";"DUDE";"Duel Devastator";"0.90";"2";"ENVOI RAPIDE !";"108";"1";"1";"EUR"
"539623989";"406924";"Duel Devastator: ""Red Blossoms from Underroot"" Field Center Card";"Duel Devastator: ""Red Blossoms from Underroot"" Field Center Card";"DUDE";"Duel Devastator";"0.90";"2";"ENVOI RAPIDE !";"45";"1";"1";"EUR"
"539627864";"406894";"Duel Devastator: Ishizu Ishtar Field Center Card";"Duel Devastator: Ishizu Ishtar Field Center Card";"DUDE";"Duel Devastator";"0.90";"2";"ENVOI RAPIDE !";"74";"1";"1";"EUR"
"539627964";"406899";"Duel Devastator: Joey Wheeler Field Center Card";"Duel Devastator: Joey Wheeler Field Center Card";"DUDE";"Duel Devastator";"0.90";"2";"ENVOI RAPIDE !";"70";"1";"1";"EUR"
"539627119";"406909";"Duel Devastator: Mai Valentine Field Center Card";"Duel Devastator: Mai Valentine Field Center Card";"DUDE";"Duel Devastator";"0.90";"2";"ENVOI RAPIDE !";"103";"1";"1";"EUR"
"539627729";"406904";"Duel Devastator: Maximillion Pegasus Field Center Card";"Duel Devastator: Maximillion Pegasus Field Center Card";"DUDE";"Duel Devastator";"0.90";"2";"ENVOI RAPIDE !";"68";"1";"1";"EUR"
"539628444";"406914";"Duel Devastator: Seto Kaiba Field Center Card";"Duel Devastator: Seto Kaiba Field Center Card";"DUDE";"Duel Devastator";"0.90";"2";"ENVOI RAPIDE !";"72";"1";"1";"EUR"
"539628699";"406919";"Duel Devastator: Yami Yugi Field Center Card";"Duel Devastator: Yami Yugi Field Center Card";"DUDE";"Duel Devastator";"0.35";"2";"ENVOI RAPIDE !";"23";"1";"1";"EUR"
"1245466477";"562120";"Egyptian God Deck: Obelisk the Tormentor";"Egyptian God Deck: Obelisk the Tormentor";"EGO1";"Egyptian God Deck: Obelisk the Tormentor";"8.00";"1";"ENGLISH VERSION";"14";"1";"1";"EUR"
"1245466598";"562125";"Egyptian God Deck: Slifer the Sky Dragon";"Egyptian God Deck: Slifer the Sky Dragon";"EGS1";"Egyptian God Deck: Slifer the Sky Dragon";"8.00";"1";"ENGLISH VERSION";"14";"1";"1";"EUR"
"1082457517";"257930";"Extreme Victory Sneak Peek Playmat";"Extreme Victory Sneak Peek Playmat";"EXVC";"Extreme Victory";"22.00";"2";"SEALED";"1";"1";"1";"EUR"
"1263792737";"390137";"Fists of the Gadgets Booster Box";"Fists of the Gadgets Booster Box";"FIGA";"Fists of the Gadgets";"89.00";"2";"";"1";"1";"1";"EUR"
"1257641110";"257934";"Galactic Overlord Sneak Peek Playmat";"Galactic Overlord Sneak Peek Playmat";"GAOV";"Galactic Overlord";"35.00";"2";"UNSEALED";"1";"1";"1";"EUR"
"1265481016";"527365";"Ghosts From the Past Box";"Ghosts From the Past Box";"GFTP";"Ghosts From the Past";"30.00";"2";"";"14";"1";"1";"EUR"
"1286486253";"584068";"Ghosts From the Past: The 2nd Haunting Booster Box";"Ghosts From the Past: The 2nd Haunting Booster Box";"GFTP2";"Ghosts From the Past: The 2nd Haunting";"84.00";"2";"";"12";"1";"1";"EUR"
"1251767516";"257922";"Gold Series Kaiba Playmat";"Gold Series Kaiba Playmat";"GLD4";"Gold Series 4: Pyramids Edition";"17.90";"1";"UNSEALLED";"1";"1";"1";"EUR"
"1251766479";"257920";"Gold Series Yugi & Kaiba Playmat";"Gold Series Yugi & Kaiba Playmat";"GLD4";"Gold Series 4: Pyramids Edition";"17.90";"1";"UNSEALLED";"2";"1";"1";"EUR"
"1286485993";"577248";"The Grand Creators Booster Box";"The Grand Creators Booster Box";"GRCR";"The Grand Creators";"84.00";"2";"";"12";"1";"1";"EUR"
"1261854755";"548796";"King's Court Booster Box";"King's Court Booster Box";"KICO";"King's Court";"130.00";"2";"";"2";"1";"1";"EUR"
"1120539622";"535598";"Legendary Duelists: Season 2: ""Kaiba Corp"" Die";"Legendary Duelists: Season 2: ""Kaiba Corp"" Die";"LDS2";"Legendary Duelists: Season 2";"13.00";"2";"";"10";"1";"1";"EUR"
"1263426998";"562127";"Legendary Duelists: Synchro Storm Booster Box";"Legendary Duelists: Synchro Storm Booster Box";"LED8";"Legendary Duelists: Synchro Storm";"47.00";"1";"";"3";"1";"1";"EUR"
"1213227018";"562127";"Legendary Duelists: Synchro Storm Booster Box";"Legendary Duelists: Synchro Storm Booster Box";"LED8";"Legendary Duelists: Synchro Storm";"53.00";"2";"";"75";"1";"1";"EUR"
"1233852398";"562126";"Legendary Duelists: Synchro Storm Case (12 Booster Boxes)";"Legendary Duelists: Synchro Storm Case (12 Booster Boxes)";"LED8";"Legendary Duelists: Synchro Storm";"696.00";"2";"";"3";"1";"1";"EUR"
"1263791880";"548746";"Lightning Overdrive Booster Box";"Lightning Overdrive Booster Box";"LIOV";"Lightning Overdrive";"89.00";"2";"SEALED";"2";"1";"1";"EUR"
"1286486471";"574186";"Maximum Gold: El Dorado Booster Box";"Maximum Gold: El Dorado Booster Box";"MGED";"Maximum Gold: El Dorado";"160.00";"2";"";"6";"1";"1";"EUR"
"1244652918";"574189";"Maximum Gold: El Dorado Box";"Maximum Gold: El Dorado Box";"MGED";"Maximum Gold: El Dorado";"29.90";"2";"";"79";"1";"1";"EUR"
"1281626696";"574189";"Maximum Gold: El Dorado Box";"Maximum Gold: El Dorado Box";"MGED";"Maximum Gold: El Dorado";"24.00";"1";"ANGLAIS";"6";"1";"1";"EUR"
"1255081701";"562135";"2021 Tin of Ancient Battles";"2021 Tin of Ancient Battles";"MP21";"2021 Tin of Ancient Battles";"22.90";"2";"";"39";"1";"1";"EUR"
"1265482430";"394897";"OTS Tournament Pack 11 Booster";"OTS Tournament Pack 11 Booster";"OP11";"OTS Tournament Pack 11";"280.00";"2";"CARTON 50 BOOSTERS SCELLÉE";"1";"1";"1";"EUR"
"1253671177";"265513";"""Noble Knight Artorigus 125th YCS Anniversary"" Playmat";"""Noble Knight Artorigus 125th YCS Anniversary"" Playmat";"PROM";"Promos";"35.00";"1";"UNSEALED (NICO)";"1";"1";"1";"EUR"
"1082571997";"371901";"Ghost Sister & Spooky Dogwood 2019 Judge Playmat";"Ghost Sister & Spooky Dogwood 2019 Judge Playmat";"PROM";"Promos";"80.00";"1";"SEALED";"1";"1";"1";"EUR"
"1253671412";"298951";"LLDS Twilightsworn Playmat";"LLDS Twilightsworn Playmat";"PROM";"Promos";"70.00";"1";"UNSEALED (NICO)";"1";"1";"1";"EUR"
"1082585062";"300641";"MCM Comic Con London 2017 Playmat";"MCM Comic Con London 2017 Playmat";"PROM";"Promos";"52.90";"1";"SEALED";"1";"1";"1";"EUR"
"1082580972";"311237";"Ordeal of a Traveler Imposter of Shien Playmat";"Ordeal of a Traveler Imposter of Shien Playmat";"PROM";"Promos";"90.00";"1";"SEALED";"1";"1";"1";"EUR"
"1082582032";"428856";"Ordeal of a Traveler Nurse Dragonmaid Playmat";"Ordeal of a Traveler Nurse Dragonmaid Playmat";"PROM";"Promos";"120.00";"1";"SEALED";"3";"1";"1";"EUR"
"1082730427";"257885";"Regional WCQ 2011 ""Aesir"" Playmat";"Regional WCQ 2011 ""Aesir"" Playmat";"PROM";"Promos";"45.00";"2";"UNSEALED";"1";"1";"1";"EUR"
"1253672807";"289440";"Regional WCQ 2016 ""Buster Blader"" Playmat";"Regional WCQ 2016 ""Buster Blader"" Playmat";"PROM";"Promos";"40.00";"1";"UNSEALED (NICO)";"1";"1";"1";"EUR"
"1082725772";"295703";"Regional WCQ 2017 Zoodiac Monsters Playmat";"Regional WCQ 2017 Zoodiac Monsters Playmat";"PROM";"Promos";"60.00";"2";"UNSEALED";"1";"1";"1";"EUR"
"1082722482";"315833";"Regional WCQ 2018 ""Saryuja Skull Dread"" Playmat";"Regional WCQ 2018 ""Saryuja Skull Dread"" Playmat";"PROM";"Promos";"30.00";"1";"UNSEALED";"2";"1";"1";"EUR"
"1082665242";"475099";"Regional WCQ 2020 ""@Ignister"" Playmat";"Regional WCQ 2020 ""@Ignister"" Playmat";"PROM";"Promos";"30.00";"2";"SEALED";"1";"1";"1";"EUR"
"1253670494";"320560";"Vampire Sucker 2018 Judge Playmat";"Vampire Sucker 2018 Judge Playmat";"PROM";"Promos";"100.00";"1";"UNSEALED (NICO)";"1";"1";"1";"EUR"
"1082761882";"257891";"WCQ 2012 Participation Playmat";"WCQ 2012 Participation Playmat";"PROM";"Promos";"45.00";"2";"UNSEALED";"1";"1";"1";"EUR"
"1253671293";"263162";"WCQ 2013 Participation Playmat";"WCQ 2013 Participation Playmat";"PROM";"Promos";"70.00";"1";"UNSEALED (NICO)";"1";"1";"1";"EUR"
"1082752752";"283721";"WCQ 2015 Participation Playmat";"WCQ 2015 Participation Playmat";"PROM";"Promos";"45.00";"2";"SEALED";"2";"1";"1";"EUR"
"1218709569";"257958";"Win-A-Mat 2010 ""Crow Hogan"" Playmat";"Win-A-Mat 2010 ""Crow Hogan"" Playmat";"PROM";"Promos";"30.00";"2";"UNSEALED";"1";"1";"1";"EUR"
"1082595527";"292070";"Win-A-Mat 2015 ""Yuya & Odd-Eyes Pendulum Dragon"" Playmat";"Win-A-Mat 2015 ""Yuya & Odd-Eyes Pendulum Dragon"" Playmat";"PROM";"Promos";"35.00";"2";"SEALED";"2";"1";"1";"EUR"
"1082599017";"355781";"Win-A-Mat 2018 ""Playmaker & Firewall Dragon"" Playmat";"Win-A-Mat 2018 ""Playmaker & Firewall Dragon"" Playmat";"PROM";"Promos";"25.00";"2";"SEALED";"2";"1";"1";"EUR"
"1082599162";"355781";"Win-A-Mat 2018 ""Playmaker & Firewall Dragon"" Playmat";"Win-A-Mat 2018 ""Playmaker & Firewall Dragon"" Playmat";"PROM";"Promos";"35.00";"2";"SEALED";"2";"1";"1";"EUR"
"1253672656";"269792";"YCS 2012 Top Cut Playmat";"YCS 2012 Top Cut Playmat";"PROM";"Promos";"50.00";"1";"UNSEALED (NICO)";"1";"1";"1";"EUR"
"1251756875";"295486";"YCS Bochum 2016 Side Event Playmat";"YCS Bochum 2016 Side Event Playmat";"PROM";"Promos";"70.00";"1";"UNSEALLED - Perfect condition";"4";"1";"1";"EUR"
"1082579812";"359198";"YCS Sydney 2017 ""Dark Magician"" Playmat";"YCS Sydney 2017 ""Dark Magician"" Playmat";"PROM";"Promos";"110.00";"1";"SEALED";"2";"1";"1";"EUR"
"1263793740";"373191";"Rising Rampage Booster";"Rising Rampage Booster";"RIRA";"Rising Rampage";"3.80";"2";"";"22";"1";"1";"EUR"
"1263794104";"373188";"Rising Rampage Booster Box";"Rising Rampage Booster Box";"RIRA";"Rising Rampage";"89.00";"2";"";"3";"1";"1";"EUR"
"1263792453";"373188";"Rising Rampage Booster Box";"Rising Rampage Booster Box";"RIRA";"Rising Rampage";"84.00";"2";"";"3";"1";"1";"EUR"
"1224410831";"491109";"Speed Duel: Battle City Box";"Speed Duel: Battle City Box";"SBCB";"Speed Duel: Battle City Box";"24.00";"2";"SEALED";"23";"1";"1";"EUR"
"1259639854";"562129";"Structure Deck: Cyber Strike";"Structure Deck: Cyber Strike";"SDCS";"Structure Deck: Cyber Strike";"16.90";"2";"";"37";"1";"1";"EUR"
"1263794702";"272083";"Structure Deck: HERO Strike";"Structure Deck: HERO Strike";"SDHS";"Structure Deck: HERO Strike";"19.90";"2";"";"3";"1";"1";"EUR"
"1082627677";"320001";"Structure Deck: Seto Kaiba Playmat";"Structure Deck: Seto Kaiba Playmat";"SDKS";"Structure Deck: Seto Kaiba";"45.00";"2";"UNSEALED";"2";"1";"1";"EUR"
"1251770055";"287098";"Structure Deck: Master of Pendulum Playmat";"Structure Deck: Master of Pendulum Playmat";"SDMP";"Structure Deck: Master of Pendulum";"17.90";"1";"SEALED";"2";"1";"1";"EUR"
"1082422022";"272134";"Secrets of Eternity: Sneak Peek Playmat";"Secrets of Eternity: Sneak Peek Playmat";"SECE";"Secrets of Eternity";"25.00";"2";"UNSEALED";"1";"1";"1";"EUR"
"1082630837";"320003";"Structure Deck: Rise of the True Dragons Playmat";"Structure Deck: Rise of the True Dragons Playmat";"SR02";"Structure Deck: Rise of the True Dragons";"90.00";"1";"UNSEALED";"1";"1";"1";"EUR"
"1263794589";"435984";"Structure Deck: Mechanized Madness";"Structure Deck: Mechanized Madness";"SR10";"Structure Deck: Mechanized Madness";"15.00";"2";"";"1";"1";"1";"EUR"
"1179823681";"379311";"Speed Duel Starter Deck: Ultimate Predators";"Speed Duel Starter Deck: Ultimate Predators";"SS03";"Starter Deck: Ultimate Predators";"9.90";"2";"";"3";"1";"1";"EUR"
"1082423882";"291479";"The Dark Illusion Sneak Peek Playmat";"The Dark Illusion Sneak Peek Playmat";"TDIL";"The Dark Illusion";"27.00";"2";"UNSEALED";"1";"1";"1";"EUR"
"1216490765";"547896";"Yugi's Legendary Decks Box Set (Reprint)";"Yugi's Legendary Decks Box Set (Reprint)";"YGLD";"Yugi's Legendary Decks";"22.90";"2";"REPRINT JUIN 2021";"31";"1";"1";"EUR"
"1225524679";"547896";"Yugi's Legendary Decks Box Set (Reprint)";"Yugi's Legendary Decks Box Set (Reprint)";"YGLD";"Yugi's Legendary Decks";"28.80";"2";"REPRINT JUIN 2021";"1";"1";"1";"EUR"
"1164518161";"261206";"10 random holos";"10 random holos";"YGPR";"Yugioh Products";"10.00";"2";"50 Ultra/Secret/Super";"7";"1";"1";"EUR"
"1263206336";"261206";"10 random holos";"10 random holos";"YGPR";"Yugioh Products";"2.20";"2";"10 Ultra/Super/Scret";"34";"1";"1";"EUR"
"1265481758";"286738";"100 Ultimate Guard Classic Soft Sleeves (Translucent)";"100 Ultimate Guard Classic Soft Sleeves (Translucent)";"YGPR";"Yugioh Products";"2.50";"2";"";"4";"1";"1";"EUR"
"1265479494";"548696";"50 Dark Magician Girl the Dragon Knight Sleeves";"50 Dark Magician Girl the Dragon Knight Sleeves";"YGPR";"Yugioh Products";"5.00";"2";"";"8";"1";"1";"EUR"
"942240520";"261204";"50 random rares";"50 random rares";"YGPR";"Yugioh Products";"8.00";"2";"50 RARES AU HASARD";"95";"1";"1";"EUR"
"1265478919";"548731";"50 Slifer, Obelisk, & Ra Sleeves";"50 Slifer, Obelisk, & Ra Sleeves";"YGPR";"Yugioh Products";"5.00";"2";"";"15";"1";"1";"EUR"
"1264457140";"368788";"60 Small Dragon Shield Sleeves - Classic Black";"60 Small Dragon Shield Sleeves - Classic Black";"YGPR";"Yugioh Products";"5.80";"2";"";"19";"1";"1";"EUR"
"1264461834";"368786";"60 Small Dragon Shield Sleeves - Classic Crimson";"60 Small Dragon Shield Sleeves - Classic Crimson";"YGPR";"Yugioh Products";"5.80";"2";"";"19";"1";"1";"EUR"
"1264457274";"368789";"60 Small Dragon Shield Sleeves - Classic Orange";"60 Small Dragon Shield Sleeves - Classic Orange";"YGPR";"Yugioh Products";"5.80";"2";"";"10";"1";"1";"EUR"
"1264457515";"368791";"60 Small Dragon Shield Sleeves - Classic Sky Blue";"60 Small Dragon Shield Sleeves - Classic Sky Blue";"YGPR";"Yugioh Products";"5.80";"2";"";"19";"1";"1";"EUR"
"1264461033";"297435";"60 Small Dragon Shield Sleeves - Matte Black";"60 Small Dragon Shield Sleeves - Matte Black";"YGPR";"Yugioh Products";"5.80";"2";"";"19";"1";"1";"EUR"
"1264461395";"357090";"60 Small Dragon Shield Sleeves - Matte Copper";"60 Small Dragon Shield Sleeves - Matte Copper";"YGPR";"Yugioh Products";"5.80";"2";"";"10";"1";"1";"EUR"
"1264460750";"357093";"60 Small Dragon Shield Sleeves - Matte Crimson";"60 Small Dragon Shield Sleeves - Matte Crimson";"YGPR";"Yugioh Products";"5.80";"2";"";"7";"1";"1";"EUR"
"1264461553";"368781";"60 Small Dragon Shield Sleeves - Matte Ivory";"60 Small Dragon Shield Sleeves - Matte Ivory";"YGPR";"Yugioh Products";"5.80";"2";"";"10";"1";"1";"EUR"
"1264461959";"357087";"60 Small Dragon Shield Sleeves - Matte Magenta";"60 Small Dragon Shield Sleeves - Matte Magenta";"YGPR";"Yugioh Products";"5.80";"2";"";"8";"1";"1";"EUR"
"1264468167";"314474";"60 Small Dragon Shield Sleeves - Matte Orange";"60 Small Dragon Shield Sleeves - Matte Orange";"YGPR";"Yugioh Products";"5.80";"2";"";"10";"1";"1";"EUR"
"1264461081";"314475";"60 Small Dragon Shield Sleeves - Matte Purple";"60 Small Dragon Shield Sleeves - Matte Purple";"YGPR";"Yugioh Products";"5.80";"2";"";"20";"1";"1";"EUR"
"1264461619";"357092";"60 Small Dragon Shield Sleeves - Matte Sky Blue";"60 Small Dragon Shield Sleeves - Matte Sky Blue";"YGPR";"Yugioh Products";"5.80";"2";"";"20";"1";"1";"EUR"
"1264447935";"297436";"60 Small Dragon Shield Sleeves - Matte White";"60 Small Dragon Shield Sleeves - Matte White";"YGPR";"Yugioh Products";"5.80";"2";"";"16";"1";"1";"EUR"
"1191428674";"267140";"60 Small Player's Choice Sleeves (Red)";"60 Small Player's Choice Sleeves (Red)";"YGPR";"Yugioh Products";"11.00";"2";"SEALED";"10";"1";"1";"EUR"
