abbreviation,rarity,count,condition,is_first_ed,language_id,product_id,id,comments,status,from,game_id,comments_special_cm,comments_special_ad,prix_a_envoyer,guid,price,comment_mkm
DCR,Common,3,EX,False,2,101865,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DCR-2EX-095-2-f-RG[01],(08)YRG[01]-DCR-2EX-095-2-f-RG[01]-101865,NaN,(08)YRG[01]-DCR-2EX-2-F-101865,NaN,(08)YRG[01]-DCR-2EX-095-2-f-RG[01]
DCR,Common,6,GD,False,1,101865,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DCR-3GD-095-1-f-RG[01],(08)YRG[01]-DCR-3GD-095-1-f-RG[01]-101865,NaN,(08)YRG[01]-DCR-3GD-1-F-101865,NaN,(08)YRG[01]-DCR-3GD-095-1-f-RG[01]
MFC,Common,2,GD,False,1,101872,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-MFC-3GD-062-1-f-RG[01],(08)YRG[01]-MFC-3GD-062-1-f-RG[01]-101872,NaN,(08)YRG[01]-MFC-3GD-1-F-101872,NaN,(08)YRG[01]-MFC-3GD-062-1-f-RG[01]
DR1,Common,1,EX,False,2,101876,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DR1-2EX-114-2-f-RG[01],(08)YRG[01]-DR1-2EX-114-2-f-RG[01]-101876,NaN,(08)YRG[01]-DR1-2EX-2-F-101876,NaN,(08)YRG[01]-DR1-2EX-114-2-f-RG[01]
DR1,Common,2,LP,False,2,101876,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DR1-4LP-114-2-f-RG[01],(08)YRG[01]-DR1-4LP-114-2-f-RG[01]-101876,NaN,(08)YRG[01]-DR1-4LP-2-F-101876,NaN,(08)YRG[01]-DR1-4LP-114-2-f-RG[01]
DR1,Common,1,PO,False,2,101876,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DR1-6PO-114-2-f-RG[01],(08)YRG[01]-DR1-6PO-114-2-f-RG[01]-101876,NaN,(08)YRG[01]-DR1-6PO-2-F-101876,NaN,(08)YRG[01]-DR1-6PO-114-2-f-RG[01]
MFC,Common,1,GD,False,1,101879,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-MFC-3GD-084-1-f-RG[01],(08)YRG[01]-MFC-3GD-084-1-f-RG[01]-101879,NaN,(08)YRG[01]-MFC-3GD-1-F-101879,NaN,(08)YRG[01]-MFC-3GD-084-1-f-RG[01]
DR1,Common,1,GD,False,2,101883,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DR1-3GD-118-2-f-RG[01],(08)YRG[01]-DR1-3GD-118-2-f-RG[01]-101883,NaN,(08)YRG[01]-DR1-3GD-2-F-101883,NaN,(08)YRG[01]-DR1-3GD-118-2-f-RG[01]
DR1,Common,1,LP,False,2,101883,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DR1-4LP-118-2-f-RG[01],(08)YRG[01]-DR1-4LP-118-2-f-RG[01]-101883,NaN,(08)YRG[01]-DR1-4LP-2-F-101883,NaN,(08)YRG[01]-DR1-4LP-118-2-f-RG[01]
DR1,Common,2,GD,False,2,101897,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DR1-3GD-021-2-f-RG[01],(08)YRG[01]-DR1-3GD-021-2-f-RG[01]-101897,NaN,(08)YRG[01]-DR1-3GD-2-F-101897,NaN,(08)YRG[01]-DR1-3GD-021-2-f-RG[01]
