id,name_en,name_fr,price,comments,count,condition,expansion,status,from,last_edited,is_signed,is_first_ed,is_altered,is_foil,is_reverse_holo,is_playset,game_id,language_id,currency_id,product_id,seller_id,created_at,updated_at,category_id
19265,,,2.35,(5)YRX[01] WSUP (3024) ScR [01],1,EX,,,,,,true,,,,,,2,,282151,,,,
19266,,,2.47,(5)YRX[01] WSUP (3025) ScR [01],9,NM,,,,,,true,,,,,,2,,282152,,,,
19267,,,13.19,(5)YRX[01] WSUP (3026) ScR [01],2,NM,,,,,,true,,,,,,2,,282153,,,,
19268,,,11.67,(5)YRX[01] WSUP (3026) ScR [01],2,EX,,,,,,true,,,,,,2,,282153,,,,
19269,,,1.19,(5)YRX[01] WSUP (5027) SR [01],9,NM,,,,,,true,,,,,,2,,282154,,,,
19270,,,0.87,(5)YRX[01] WSUP (5028) SR [01],3,NM,,,,,,true,,,,,,2,,282155,,,,
19271,,,2.47,(5)YRX[01] WSUP (3030) ScR [01],8,NM,,,,,,true,,,,,,2,,282156,,,,
19272,,,2.47,(5)YRX[01] WSUP (3031) ScR [01],3,NM,,,,,,true,,,,,,2,,282157,,,,
19273,,,6.93,(2)YCF[02] (ScR) WSUP (3032) [02],1,NM,,,,,,true,,,,,,2,,282158,,,,
19274,,,1.19,(5)YRX[01] WSUP (5033) SR [01],6,NM,,,,,,true,,,,,,2,,282159,,,,
19275,,,1.19,(5)YRX[01] WSUP (5034) SR [01],6,NM,,,,,,true,,,,,,2,,282160,,,,
19276,,,8.85,(5)YRX[01] WSUP (5035) SR [01],1,NM,,,,,,true,,,,,,1,,282161,,,,
19277,,,0.87,(5)YRX[01] WSUP (5036) SR [01],6,NM,,,,,,true,,,,,,2,,282162,,,,
19278,,,0.87,(5)YRX[01] WSUP (5037) SR [01],6,NM,,,,,,true,,,,,,2,,282163,,,,
19279,,,0.87,(5)YRX[01] WSUP (5040) SR [01],2,NM,,,,,,true,,,,,,2,,282164,,,,
19280,,,1.19,(5)YRX[01] WSUP (5041) SR [01],6,NM,,,,,,true,,,,,,2,,282165,,,,
19281,,,2.47,(5)YRX[01] WSUP (3042) ScR [01],9,NM,,,,,,true,,,,,,2,,282166,,,,
19282,,,0.87,(5)YRX[01] WSUP (5044) SR [01],7,NM,,,,,,true,,,,,,2,,282167,,,,
19283,,,1.19,(5)YRX[01] WSUP (5045) SR [01],4,NM,,,,,,true,,,,,,2,,282168,,,,
